model,variant,dataset,N,pred_len,FLOPs_G,Params_M,train_vram_GB,infer_vram_GB,train_ms_batch,infer_ms_batch
VarDrop,,electricity,321,336,2.2590,4.9570,0.3598,0.4776,37.7777,8.2158
VarDrop,,electricity,321,720,2.3229,5.1540,0.3983,0.5201,45.6761,8.4486
VarDrop,,solar_AL,137,96,0.5227,3.2559,0.1234,0.1343,22.2331,3.5930
VarDrop,,solar_AL,137,192,0.5294,3.3052,0.1241,0.1385,23.1931,2.8829
VarDrop,,solar_AL,137,336,0.5395,3.3790,0.1357,0.1462,24.1121,2.9265
VarDrop,,solar_AL,137,720,0.5665,3.5760,0.1413,0.1664,27.5652,3.2785
iFlashformer,,traffic,862,96,11.6931,6.4119,1.0712,0.2561,36.5197,8.3772
iFlashformer,,traffic,862,192,11.7357,6.4611,1.0890,0.2705,39.0681,8.4997
iFlashformer,,traffic,862,336,11.7995,6.5350,1.1492,0.2940,42.5565,8.5565
iFlashformer,,traffic,862,720,11.9698,6.7320,1.3103,0.3547,66.6140,9.2222
iFlashformer,,electricity,321,96,2.2191,4.8339,0.3583,0.1271,21.2538,3.1290
iFlashformer,,electricity,321,192,2.2351,4.8831,0.3655,0.1343,21.8086,3.2620
iFlashformer,,electricity,321,336,2.2590,4.9570,0.3888,0.1417,21.6064,3.3735
iFlashformer,,electricity,321,720,2.3229,5.1540,0.4557,0.1670,24.7964,3.5553
iFlashformer,,solar_AL,137,96,0.5227,3.2559,0.2326,0.1024,17.1133,2.2892
iFlashformer,,solar_AL,137,192,0.5294,3.3052,0.2409,0.1073,17.2955,2.2856
iFlashformer,,solar_AL,137,336,0.5395,3.3790,0.2595,0.1154,18.2674,2.6808
iFlashformer,,solar_AL,137,720,0.5665,3.5760,0.3136,0.1354,20.2214,2.8857
iFlashformer,,kamp,228,96,1.4515,4.8339,0.2795,0.1099,19.5734,2.7776
iFlashformer,,kamp,228,192,1.4629,4.8831,0.2897,0.1154,20.2641,2.7093
iFlashformer,,kamp,228,336,1.4800,4.9570,0.3027,0.1199,19.9077,2.7444
iFlashformer,,kamp,228,720,1.5257,5.1540,0.3518,0.1378,20.3084,2.9323
iFlashformer,,care_wind,238,96,1.5290,4.8339,0.2894,0.1110,17.3020,2.7674
iFlashformer,,care_wind,238,192,1.5409,4.8831,0.2956,0.1161,21.0276,2.8385
iFlashformer,,care_wind,238,336,1.5587,4.9570,0.3130,0.1225,13.9318,2.8130
iFlashformer,,care_wind,238,720,1.6063,5.1540,0.3652,0.1419,19.5995,3.0520
iFlashformer,,basf,244,96,1.5760,4.8339,0.2976,0.1118,18.8659,2.6639
iFlashformer,,basf,244,192,1.5882,4.8831,0.3034,0.1170,18.1059,2.6521
iFlashformer,,basf,244,336,1.6065,4.9570,0.3217,0.1249,17.9152,2.7982
iFlashformer,,basf,244,720,1.6553,5.1540,0.3699,0.1432,19.6263,2.8969
iFlashformer,,sdwpf,2144,96,38.7253,4.8339,1.0012,0.2799,41.7509,10.0374
iFlashformer,,sdwpf,2144,192,38.8309,4.8831,1.0257,0.2990,44.8393,10.1779
iFlashformer,,sdwpf,2144,336,38.9893,4.9570,1.1016,0.3285,49.4180,10.3130
iFlashformer,,sdwpf,2144,720,39.4116,5.1540,1.3047,0.4028,62.0842,11.0054
iFlashformer,,ashrae,2362,96,45.8245,4.8339,1.0897,0.3002,44.5175,10.8574
iFlashformer,,ashrae,2362,192,45.9408,4.8831,1.1181,0.3215,48.0986,10.9850
iFlashformer,,ashrae,2362,336,46.1153,4.9570,1.2010,0.3525,53.0342,11.1901
iFlashformer,,ashrae,2362,720,46.5804,5.1540,1.4195,0.4360,82.8040,11.9752
iFlashformer,,bdg2,2817,96,62.5231,4.8339,1.2908,0.3463,57.1042,14.1893
iFlashformer,,bdg2,2817,192,62.6618,4.8831,1.3229,0.3708,61.0070,14.3250
iFlashformer,,bdg2,2817,336,62.8698,4.9570,1.4237,0.4097,76.5028,14.5273
iFlashformer,,bdg2,2817,720,63.4244,5.1540,1.6811,0.5066,102.1594,14.9350
iNystromformer,,traffic,862,96,6.9795,6.4068,1.7755,0.3625,65.9297,16.7306
iNystromformer,,traffic,862,192,7.0221,6.4560,1.7959,0.3778,64.9487,16.5244
iNystromformer,,traffic,862,336,7.0859,6.5299,1.8446,0.3999,70.0163,16.6664
iNystromformer,,traffic,862,720,7.2562,6.7269,2.0021,0.4598,96.3713,16.9419
iNystromformer,,electricity,321,96,2.2825,4.8301,0.6998,0.1855,48.3495,9.7795
iNystromformer,,electricity,321,192,2.2984,4.8793,0.7072,0.1928,46.7981,9.3790
iNystromformer,,electricity,321,336,2.3224,4.9532,0.7267,0.1989,48.5553,9.9498
iNystromformer,,electricity,321,720,2.3863,5.1502,0.7900,0.2251,54.5264,10.0370
iNystromformer,,solar_AL,137,96,0.8073,3.2534,0.5678,0.1758,37.4935,7.2615
iNystromformer,,solar_AL,137,192,0.8140,3.3026,0.5734,0.1817,36.0099,7.0015
iNystromformer,,solar_AL,137,336,0.8241,3.3765,0.5887,0.1905,36.8959,6.6159
iNystromformer,,solar_AL,137,720,0.8510,3.5735,0.6433,0.2116,37.8218,7.0146
iTransformer,,traffic,862,96,11.6931,6.4119,4.1485,1.2562,79.2439,22.5137
iTransformer,,traffic,862,192,11.7357,6.4611,4.1673,1.2730,81.6875,22.6189
iTransformer,,traffic,862,336,11.7995,6.5350,4.2005,1.2966,85.2651,22.6577
iTransformer,,traffic,862,720,11.9698,6.7320,4.2826,1.3560,109.0660,22.8965
iTransformer,,electricity,321,96,2.2191,4.8339,0.6618,0.2538,23.4005,4.4916
iTransformer,,electricity,321,192,2.2351,4.8831,0.6693,0.2601,24.7969,4.5372
iTransformer,,electricity,321,336,2.2590,4.9570,0.6818,0.2678,25.6566,4.7089
iTransformer,,electricity,321,720,2.3229,5.1540,0.7223,0.2922,29.9607,4.9064
iTransformer,,solar_AL,137,96,0.5227,3.2559,0.2954,0.1350,17.8072,2.8749
iTransformer,,solar_AL,137,192,0.5294,3.3052,0.3027,0.1386,17.3777,3.0024
iTransformer,,solar_AL,137,336,0.5395,3.3790,0.3206,0.1464,20.5626,2.8899
iTransformer,,solar_AL,137,720,0.5665,3.5760,0.3765,0.1663,21.8911,3.1898
iTransformer,,kamp,228,96,1.4515,4.8339,0.4198,0.1682,27.4614,3.9871
iTransformer,,kamp,228,192,1.4629,4.8831,0.4287,0.1706,27.8469,4.0148
iTransformer,,kamp,228,336,1.4800,4.9570,0.4400,0.1795,28.3904,4.2545
iTransformer,,kamp,228,720,1.5257,5.1540,0.4864,0.1947,29.1620,4.4778
iTransformer,,care_wind,238,96,1.5290,4.8339,0.4440,0.1759,27.4185,3.8481
iTransformer,,care_wind,238,192,1.5409,4.8831,0.4525,0.1805,25.7593,3.8309
iTransformer,,care_wind,238,336,1.5587,4.9570,0.4638,0.1877,28.9734,3.8238
iTransformer,,care_wind,238,720,1.6063,5.1540,0.5118,0.2054,29.1545,4.0142
iTransformer,,basf,244,96,1.5760,4.8339,0.4575,0.1798,26.5749,3.6932
iTransformer,,basf,244,192,1.5882,4.8831,0.4642,0.1850,28.4862,3.6497
iTransformer,,basf,244,336,1.6065,4.9570,0.4772,0.1929,27.7873,3.7685
iTransformer,,basf,244,720,1.6553,5.1540,0.5233,0.2096,28.5185,4.1248
iTransformer,,sdwpf,2144,96,38.7253,4.8339,8.9982,3.4994,145.4456,47.0030
iTransformer,,sdwpf,2144,192,38.8309,4.8831,9.0242,3.5184,145.8270,46.3190
iTransformer,,sdwpf,2144,336,38.9893,4.9570,9.0622,3.5478,150.5494,46.1558
iTransformer,,sdwpf,2144,720,39.4116,5.1540,9.1621,3.6217,164.2338,46.5836
iTransformer,,ashrae,2362,96,45.8245,4.8339,10.8134,4.2136,158.8834,48.1111
iTransformer,,ashrae,2362,192,45.9408,4.8831,10.8426,4.2349,162.2622,48.2057
iTransformer,,ashrae,2362,336,46.1153,4.9570,10.8836,4.2660,166.8760,48.3528
iTransformer,,ashrae,2362,720,46.5804,5.1540,10.9949,4.3480,196.2365,48.5651
iTransformer,,bdg2,2817,96,62.5231,4.8339,15.1724,5.9301,227.5217,69.5021
iTransformer,,bdg2,2817,192,62.6618,4.8831,15.2047,5.9547,231.5241,69.5342
iTransformer,,bdg2,2817,336,62.8698,4.9570,15.2568,5.9917,246.5257,69.7385
iTransformer,,bdg2,2817,720,63.4244,5.1540,15.3879,6.0904,271.0403,70.0004
SOFTS,,solar_AL,137,96,0.818979,2.991968,0.234884,0.12253,9.340237,2.747847
SOFTS,,solar_AL,137,192,0.83246,3.041216,0.241183,0.125249,9.508091,2.699158
SOFTS,,solar_AL,137,336,0.852681,3.115088,0.2549,0.133854,9.830777,2.721215
SOFTS,,solar_AL,137,720,0.906605,3.31208,0.308811,0.148022,10.074483,2.814011
SOFTS,,electricity,321,96,2.882204,4.438496,0.35753,0.155377,14.279492,3.453573
SOFTS,,electricity,321,192,2.914184,4.487744,0.368361,0.161733,13.718926,3.34908
SOFTS,,electricity,321,336,2.962154,4.561616,0.380342,0.16677,13.453042,3.468902
SOFTS,,electricity,321,720,3.090074,4.758608,0.444359,0.18769,13.155699,3.795463
SOFTS,,traffic,862,96,7.679965,4.438496,0.837833,0.266386,19.685985,8.258507
SOFTS,,traffic,862,192,7.76518,4.487744,0.860057,0.278254,20.138907,8.434489
SOFTS,,traffic,862,336,7.893001,4.561616,0.891685,0.292791,20.790785,8.529695
SOFTS,,traffic,862,720,8.233859,4.758608,1.051341,0.335928,22.095533,9.023101
